Ulasan,Rating,text_clean_preprocessed,label_sentiment
Pesanan gx sesuai dgn yg d gambar,2,pesan gx sesuai gambar,1
Pengiriman  respon super cepat. Tpi barang tidak sesuai gambar tidak kuat untuk menembus jok motor.,2,kirim respon super cepat tpi barang sesuai gambar kuat tembus jok motor,1
barang yg dikirim tidak sesuai pesanan,1,barang kirim sesuai pesan,1
"Php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.000 ternyata isinya ga cocok",1,php bilang isi skripsi pas sen beda mubajir rp50000 isi cocok,1
barang jelek copot&#34; terus tmpat taro isinya,2,barang jelek copot 34 tmpat taro isi,2
Beli staples gak jual isinya... hanya sekali pake.... ckckck,1,beli staples jual isi pake ckckck,0
"Sebaiknya kalau mau ngirim barang...diperiksa dulu gan, kondisi  barangnya layak apa gak gitu loh.
(Isinya karatan semua)",1,ngirim barang periksa gan kondisi barang layak gitu loh isi karat,1
"Produk tidak sesuai, order prohex yg dikirim ini",2,produk sesuai order prohex kirim,1
brg sdh diterima.................,2,barang sdh terima,0
tidak bisa buat masang jok gak ke pake,2,masang jok pake,0
"barang datang cacat ,gak bisa di gunakan 
harusnya sblum di kirim di coba dulu",1,barang cacat sblum kirim coba,2
"Kecewa baru dipakey isiya kluar sampai 2 3 buah
Dipapan nggak nempel",1,kecewa dipakey isiya kluar 2 3 buah papan nempel,2
Barang kurang bagus. Pengiriman pakai pos lama sekali.,2,barang bagus kirim pakai pos,1
"Hasil staples tidak rapat pada bidang, mungkin dapat produk cacat..hadeeuh",1,hasil staples rapat bidang produk cacat hadeeuh,2
barang standart n biasa aja kurang good...,2,barang standart n good,1
Barangnya rusak..kecewa berat,1,barang rusak kecewa berat,2
Beli 5 tdk bs dipakai semua,1,beli 5 bs pakai,0
"Straples nya tidak bs dipake,  udh dicoba berkali2 bwt pasang jaring nyamuk straples ditembak dibahan triplek aja tidak nembus udh itu harus diketok2 Palu lgi ð¢",1,straples nya bs dipake coba berkali2 bwt pasang jaring nyamuk straples tembak bah triplek nembus diketok2 palu lgi ,0
mungkin karena harga juga.. jadi susah dipake..hehe staplesnya gak nancep sampe oenuh..,2,harga susah dipake hehe staples nancep sampe oenuh,2
gagal.........................,1,gagal,2
ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,1,ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,0
"SELLER TIDAK KOMUNIKATIF, NIATNYA PAKE INSTANT COURIER BIAR SEGERA SAMPAI, TP BARANG DIKIRIM 2 HARI KEMUDIAN TANPA KABAR SAMA SEKALI, DITANYA GA BERANI BALAS, UDAH NGAJUIN PEMBATALAN TETEP AJA DIKIRIM TANPA DOSA.. SEMOGA GA ADA LAGI YG BUYER DAPET PERLAKUAN KYK GINI",1,seller komunikatif niat pake instant courier biar barang kirim 2 kabar berani balas udah ngajuin batal tetep kirim dosa moga buyer dapet laku kyk gin,1
"barang nya kayak bekas ya gan..
tapi pengiriman ceoat",2,barang nya kayak bekas ya gan kirim ceoat,2
barang ada yg gak sesuai sama buset lama banget dikirimnya.....kapok,1,barang sesuai buset banget kirim kapok,1
"Model brang sdh sesuai deskripsi... Tapi kenapa ukuran 44nya ndak sesuai ya.. ukuran panjang sesuai tapi ukuran tinggi spatunya kyk ukuran kaki no 40. 

Aku kasih foto sepatunya yg tak coba aku pakai.",2,model brang sdh sesuai deskripsi ukur 44nya ndak sesuai ya ukur sesuai ukur spatunya kyk ukur kaki 40 kasih foto sepatu coba pakai,1
"Tidak recommended, kaki tidak bisa masuk, sepatu seperti sablonan, kualitas not ok",1,recommended kaki masuk sepatu sablon kualitas ok,1
"Apakah sepatunya boleh di retur? Kualitas bahan kanan kiri berbeda, tebelnya beda, tinggi nya juga beda",1,sepatu retur kualitas bahan kanan kiri beda tebelnya beda nya beda,0
